Amount of time he slepe,Amount of time he was active
6,9
10,15
3,6
1,3
9,18
4,6
2,3
5,5
8,10
1,2
6,9
0,15
3,6
1,3
9,18
4,6
2,3
5,5
8,10
1,2
7,9
10,5
7,10
11,17
4,8
2,2
7,11
5,7
3,5
8,16
9,9
2,5
7,10
11,15
4,7
3,7
10,14
6,10
3,6
9,10
7,10
2,4
4,6
11,7
2,3
7,6
5,9
3,10
8,8
9,10
2,4
7,4
11,14
4,8
3,5
9,5
2,7
7,11
11,12
4,8
3,9
10,15
6,7
3,8
9,11
7,14
2,5
4,7
11,8
2,4
7,7
5,10
3,11
8,10
10,20
18,30
4,8
8,16
12,24
16,32
20,40
19,35
18,30
3,7
6,12
9,18
12,24
15,36
18,42
21,30
24,48
27,50
30,55
2,4
4,8
6,14
8,15
10,20
12,28
14,36
18,30
20,30
1,1
2,5
3,8
4,6
5,4
6,10
7,7
8,9
9,13
10,11
11,6
12,10
13,13
14,12
15,11
16,20
17,14
18,30
19,12
20,10
21,11
22,25
23,25
24,26
25,27
26,28
27,30
28,29
5,13
10,15
15,20
20,25
25,30
30,35
35,40
40,45
45,50
50,55
55,60
60,65
65,70
70,75
75,80
80,85
85,90
90,95
95,100
100,100
6,6
12,15
18,20
24,25
30,32
36,40
42,45
48,50
54,56
60,66
7,10
14,15
21,24
28,30
35,40
42,45
49,50
56,60
63,70
70,72
8,9
16,20
24,25
32,35
40,45
48,49
56,58
64,68
72,76
80,85
9,10
18,20
27,30
36,40
45,49
54,56
63,65
72,74
81,84
90,92
10,12
20,22
30,32
40,42
50,52
60,62
70,72
80,82
90,98
100,105
11,14
22,23
33,36
44,48
55,59
66,69
77,76
88,89
99,102
100,110
12,17
24,49
13,20
11,16
12,17
13,18
14,19
15,20
16,21
1,2
7,7
18,20
19,25
20,26
30,36
29,32
28,35
27,30
26,50
25,60
24,40
23,36
22,38
21,54
31,52
32,59
33,58
34,51
35,66
36,68
37,63
38,64
39,67
40,62
49,77
50,79
48,74
47,72
46,71
45,73
44,78
43,75
42,70
41,55
51,60
52,68
53,64
54,63
56,69
57,62
58,61
59,65
60,66
70,71
69,74
68,75
67,72
66,73
65,79
64,77
63,76
62,75
61,70
71,86
72,84
73,82
74,81
75,83
76,85
78,87
79,89
80,80
90,100
89,102
88,79
87,98
86,90
8,16
58,69
85,87
84,88
83,90
82,98
81,90
91,100
22,30
25,35
26,30
27,39
29,45
21,32
24,36
33,38
31,49
35,46
36,44
39,50
38,59
37,57
45,54
55,64
56,64
58,87
57,60
51,69
50,70
74,89
1,0
75,55
76,66
